altura,fnac,fortuna,nacionalidad,nombre,peso
[1.95],"August 27, 1970",[80000000.0],United States,James Howard Thome,[112.0]
[1.88],"August 5, 1981 ",[79000000.0],American,Carl Demonte Crawford ,[102.0]
,"July 3, 1966",[75000000.0],Dominican-American,Moises Rojas Alou,[83.0]
[1.88],24 August 1945 ,[2100000000.0],American,Vincent Kennedy McMahon ,[112.0]
[1.98],"February 17, 1963",[1600000000.0],American,Michael Jeffrey Jordan,[98.0]
[1.85],"December 30, 1975 ",[800000000.0],American,Eldrick Tont Woods,[84.0]
[1.83],"May 2, 1975 ",[670000000.0],English,David Robert Joseph Beckham,[71.0]
[2.06],"August 14, 1959",[600000000.0],American,Earvin Johnson Jr.,[116.0]
[1.9],"February 5, 1942",[600000000.0],American,Roger Thomas Staubach,[89.0]
[1.75],"January 3, 1969",[600000000.0],Germany,Michael Schumacher,[68.0]
[1.96],"September 17, 1953",[600000000.0],American,Ulysses Lee Bridgeman,[95.0]
[1.88],25 May 1958,[1200000000.0],British-Croatian,Slavica Radić,
[1.68],"April 17, 1974",[450000000.0],Englsih,Victoria Caroline Adams Beckham,
[1.78],"March 20, 1963 ",[360000000.0],American,Kathleen Marie Ireland,
[1.8]," July 20, 1980",[360000000.0],Brazil,Gisele Caroline Bündchen,[57.0]
[1.73],28 June 1984,[300000000.0],United Kingdom,Tamara Ecclestone,
,"October 23, 1940",[200000000.0],United States,Jane Brookenfeld Holzer,
,"June 13, 1959",[170000000.0],American,Juanita Jordan ,
[1.7],"July 10, 1972",[160000000.0],Colombian,Sofía Margarita Vergara Vergara,[56.0]
[1.73],"February 17, 1981",[100000000.0],American,Paris Whitney Hilton ,[50.0]
[1.75]," February 20, 1966",[100000000.0],American,Cynthia Ann Crawford,[59.0]
,"January 1, 1980",[100000000.0],Sweden,Elin Maria Pernilla Nordegren,
[1.73],"September 19, 1984",[100000000.0],American,Lydia Marie Hearst-Shaw,[50.0]
altura,fnac,fortuna,nacionalidad,nombre,peso
[1.69]," June 24, 1987",[400000000.0],Argentine,Lionel Andrés Messi Cuccittini,[67.0]
[1.85],"August 8, 1981",[400000000.0],Switzerland,Roger Federer,[85.0]
[2.16],"March 6, 1972",[400000000.0],American,Shaquille Rashaun O'Neal,[147.0]
[1.98],"August 23, 1978",[350000000.0],American,Kobe Bean Bryant,[93.0]
[1.96],"May 2, 1972",[320000000.0],American,Dwayne Douglas Johnson,[118.0]
[1.87],"July 27, 1975",[300000000.0],American,"Alexander Emmanuel ""Alex"" Rodriguez",
[1.83],"February 10, 1955",[300000000.0],Australia,Gregory John Norman,[82.0]
[1.78],"January 21, 1940",[280000000.0],United States,Jack William Nicklaus,
[1.74],"January 7, 1985",[280000000.0],United Kingdom,Lewis Carl Davidson Hamilton,
[1.92],"January 10, 1949 ",[250000000.0],American,George Edward Foreman,[118.0]
[1.83],"October 10, 1974",[225000000.0],American,"Ralph Dale Earnhardt, Jr.",[75.0]
[1.83],"March 29, 1964",[95000000.0],Australian ,Eleanor Nancy Gow,
[1.78]," December 4, 1973",[90000000.0],United States,Tyra Lynn Banks,[56.0]
[1.75],"February 2, 1954",[80000000.0],United States,Christie Brinkley,
[1.78],"June 12, 1981 ",[75000000.0],Brazilian,Adriana Lima,
[1.7],"January 16, 1974",[72000000.0],United Kingdom,Katherine Ann Moss,
[1.77],"June 1, 1973",[70000000.0],Germany- United States (dual),Heidi Klum Samuel ,[54.0]
[1.8],"August 25, 1970",[55000000.0],German,Claudia Schiffer,
[1.6763999978389679],"September 19, 1949",[50000000.0],British,Twiggy Lesley Lawson,
,30 September 1964,[45000000.0],Italian,Monica Anna Maria Bellucci,
[1.75],"November 17, 1966 ",[45000000.0],United States,Daisy Fuentes,
[1.7],"September 28, 1934",[45000000.0],French,Brigitte Anne-Marie Bardot,
[1.77],"May 22, 1970",[45000000.0],United Kingdom,Naomi Campbell ,[50.0]
,"November 10, 1977",[45000000.0],Australian,Erica Baxter,
[2.03],"October 5, 1972",[180000000.0],American,Grant Henry Hill,[102.0]
[2.11],"April 25, 1976",[177000000.0],United States,"Timothy Theodore ""Tim"" Duncan",[113.0]
[2.06],"September 29, 1988",[170000000.0],American,Kevin Wayne Durant,[107.0]
[2.13],"June 19, 1978",[170000000.0],Germany,Dirk Werner Nowitzki ,[111.0]
,"March 1, 1973",[143400000.0],American,Mayce Edward Christopher Webber,[111.0]
[1.93],"January 6, 1982",[135000000.0],United States,"Gilbert Jay Arenas, Jr.",
[1.93],"July 23, 1968",[130000000.0],United States,Gary Dwayne Payton,[82.0]
[1.91],"November 12, 1988 ",[125000000.0],American,Russell Westbrook,[91.0]
,"November 20, 1981",[120000000.0],American,Carlos Austin Boozer Jr.,[117.0]
[1.91],"October 4, 1988",[115000000.0],United States,Derrick Martell Rose ,[86.0]
[2.11]," December 8, 1985",[115000000.0],United States,Dwight David Howard,[120.0]
[1.93],"January 17, 1982",[115000000.0],United States,"Dwyane Tyrone Wade, Jr.",[100.0]
,13 June 1986,[500000000.0],American,Mary-Kate Olsen & Ashley Fuller Olsen,[44.4]
[1.68],"February 11, 1969",[300000000.0],American,Jennifer Joanna Aniston,[50.0]
[1.75],"October 28, 1967",[250000000.0],American,Julia Fiona Roberts,
[1.61],"January 13, 1961",[250000000.0],American,Julia Scarlett Elizabeth Louis-Dreyfus,[53.0]
